numero,arquivo,artista,musica
01132,01132.mp4,DIOGO NOGUEIRA,MALANDRO É MALANDRO E MANÉ É MANÉ
01133,01133.mp4,LENINE,MARTELO BIGORNA
01134,01134.mp4,LEONARDO,MENTIROSA
01135,01135.mp4,WALDICK SORIANO,PERFUME DE GARDÊNIA
01136,01136.mp4,DOCE ENCONTRO,TÔ DE SACO CHEIO
01137,01137.mp4,KALUANA,TUA INDIFERENÇA - COM ADRIANA RIBEIRO
01138,01138.mp4,MÁRCIA,VENENO
01139,01139.mp4,PADRE FÁBIO DE MELLO,VIDA
01140,01140.mp4,NELSON GONÇALVES,VIOLÃO
01141,01141.mp4,WALDICK SORIANO,A CARTA
01142,01142.mp4,IVETE SANGALO,AGORA EU JÁ SEI
01143,01143.mp4,CHICAS,CARAS E BOCAS
01144,01144.mp4,PAPAS DA LINGUA,DISCO ROCK
01145,01145.mp4,PAULA FERNANDES,JEITO DE MATO - COM ALMIR SATER
01146,01146.mp4,MARISA MONTE,MAIS UMA VEZ
01147,01147.mp4,OS THOMÉS,MEU AMOR
01148,01148.mp4,RIONEGRO E SOLIMÕES,MOÍDO DE PAIXÃO
01149,01149.mp4,SKANK,NOITES DE UM VERÃO QUALQUER
01150,01150.mp4,AGNELA,PODIA SER
01151,01151.mp4,DANIEL,PRA SEMPRE TE AMAR
01152,01152.mp4,VÍCTOR E LÉO,SONHOS E ILUSÕES EM MIM
01153,01153.mp4,ALIADOS,SORRINDO
01154,01154.mp4,JORGE E MATEUS,TRAZ ELA DE VOLTA PRA MIM
01155,01155.mp4,MARIA BETHÂNIA,UM JEITO ESTÚPIDO DE TE AMAR
01156,01156.mp4,CAZUZA,VAI À LUTA
01157,01157.mp4,MARIA CECÍLIA E RODOLFO,VOCÊ DE VOLTA
01158,01158.mp4,CÉSAR E PAULINHO,VOCÊ É TUDO QUE PEDI PRA DEUS
01159,01159.mp4,LEONARDO,"VOLTE, AMOR"
01160,01160.mp4,JORGE E MATEUS,VOU FAZER PIRRAÇA
01161,01161.mp4,UDORA,A FALTA (QUE ME FAZ)
01162,01162.mp4,BETH CARVALHO,AMOR DE VERDADE
01163,01163.mp4,JORGE VERCILO,DEVANEIO
01164,01164.mp4,CARLOS JOSÉ,ESMERALDA
01165,01165.mp4,ALCIONE,EU VOU PRA LAPA
01166,01166.mp4,GUILHERME E SANTIAGO,FRANGUINHO NA PANELA
01167,01167.mp4,CHICO BUARQUE,GOTA D'ÁGUA
01168,01168.mp4,ZÉ RAMALHO,JARDIM DAS ACÁCIAS II
01169,01169.mp4,PIQUE NOVO,LIGANDO OS FATOS
01170,01170.mp4,PARALAMAS DO SUCESSO,MEU SONHO
01171,01171.mp4,NELSON GONÇALVES,MEU VÍCIO É VOCÊ
01172,01172.mp4,BRUNO E MARRONE,NÃO TENTE ME IMPEDIR
01173,01173.mp4,CAUBY PEIXOTO,NINGUÉM É DE NINGUÉM
01174,01174.mp4,STRIKE,NO VENENO
01175,01175.mp4,CPM 22,NOSSA MÚSICA
01176,01176.mp4,UDORA,PELO MENOS HOJE
01177,01177.mp4,CARLOS JOSÉ,QUERIA
01178,01178.mp4,WANDERLÉIA,TE AMO
01179,01179.mp4,ANA CAROLINA,VAI
01180,01180.mp4,GRUPO TRADIÇÃO,VOCÊ NÃO VALE UM REAL
01181,01181.mp4,ZÉ GERALDO,A FÉ
01182,01182.mp4,ORNELLA DI SANTIS & BELO,AGENDA
01183,01183.mp4,ZÉ HENRIQUE & GABRIEL,"AH, QUE DEUS É ESSE"
01184,01184.mp4,SORRISO MAROTO,AINDA EXISTE AMOR EM NÓS
01185,01185.mp4,CALCINHA PRETA,AMOR DIVIDIDO
01186,01186.mp4,JOÃO BOSCO E VINICIUS,CORAÇÃO SÓ VÊ VOCÊ
01187,01187.mp4,JOÃO NETO E FREDERICO,DETONOU
01188,01188.mp4,LEONARDO,ESSE ALGUÉM SOU EU
01189,01189.mp4,FRANCO LEVINE,EU TÔ AQUI
01190,01190.mp4,CALCINHA PRETA,VOCÊ NÃO VALE NADA
01191,01191.mp4,NANDO REIS,AINDA NÃO PASSOU
01192,01192.mp4,JUSSARA SILVEIRA,ALÉM DO PARAÍSO
01193,01193.mp4,BRUNO E MARRONE,AMOR NÃO VAI FALTAR
01194,01194.mp4,MC BABI,ANJO DA MADRUGADA
01195,01195.mp4,NELSON GONÇALVES,CAMISOLA DO DIA
01196,01196.mp4,NELSON GONÇALVES,CHORE COMIGO
01197,01197.mp4,LEONARDO,LONGE
01198,01198.mp4,NOITE ILUSTRADA,MEUS TEMPOS DE CRIANÇA
01199,01199.mp4,JANAINA KAIS,MULHER PRA NAMORAR
01200,01200.mp4,FERNANDO E SOROCABA,PAGA PAU
01201,01201.mp4,RENATO TEIXEIRA,A VIOLA E O CANTADOR
01202,01202.mp4,EDUARDO DUZEK,"ALÔ, ALÔ BRASIL"
01203,01203.mp4,TITÃS,ANTES DE VOCÊ
01204,01204.mp4,PAPAS DA LÍNGUA,BALADA DO AMOR PERDIDO
01205,01205.mp4,ELIZETH CARDOSO,CANÇÃO DA VOLTA
01206,01206.mp4,RITA LEE,CECY BOM (C'EST SI BON)
01207,01207.mp4,BANDA CALYPSO,CHÁ DE MARACUJÁ
01208,01208.mp4,JOTA CANALHA,CHATOS EM DESFILE
01209,01209.mp4,TCHÊ GAROTOS,CHEGA DE DEPRÊ
01210,01210.mp4,ALEXANDRE PIRES,CIGANO
01211,01211.mp4,ZIZI POSSI,CORSÁRIO
01212,01212.mp4,INIMIGOS DA HP E EDSON E HUDSON,DE PEITO ABERTO PRA QUEM QUER ME AMAR
01213,01213.mp4,JOTA QUEST,DE VOLTA AO PLANETA DOS MACACOS
01214,01214.mp4,FRESNO,DESDE QUANDO VOCÊ SE FOI
01215,01215.mp4,LIAH,E NÃO VOU MAIS DEIXAR VOCÊ TÃO SÓ
01216,01216.mp4,ELBA RAMALHO,É SÓ VOCÊ QUERER
01217,01217.mp4,CPM 22,ESTRANHO NO ESPELHO
01218,01218.mp4,CLAUDIA LEITE,HORIZONTE
01219,01219.mp4,ROGER E ROBSON,LINDA MENINA
01220,01220.mp4,ZEZÉ DI CAMARGO E LUCIANO,NÃO QUERO TE PERDER
01221,01221.mp4,ROUPA NOVA,NATAL TODO DIA
01222,01222.mp4,RODRIGUINHO E NANA DAMASCENO,O AMOR VENCEU
01223,01223.mp4,TEODORO E SAMPAIO,O TREM TÁ FEIO
01224,01224.mp4,FORRÓ DO MUÍDO,PALÁCIOS E CASTELOS
01225,01225.mp4,GRUPO REVELAÇÃO,PECADORA
01226,01226.mp4,MONIQUE KESSOUS,PITANGUEIRA
01227,01227.mp4,TITÃS,PORQUE EU SEI QUE É AMOR
01228,01228.mp4,CHIMARRUTS,PRA ELA
01229,01229.mp4,EDUARDO COSTA,PRESENTE DE DEUS
01230,01230.mp4,LATINO E BANDA CALYPSO,PROPOSTAS INDECENTES
01231,01231.mp4,BANDA EVA E NETINHO,QUÍMICA PERFEITA
01232,01232.mp4,RICK E RENNER,RIACHO SERENO
01233,01233.mp4,EMÍLIO SANTIAGO,ROSA MORENA
01234,01234.mp4,JOTA QUEST,SEIS E TRINTA
01235,01235.mp4,SKANK,SUTILMENTE
01236,01236.mp4,JORGE VERCILO,TODA ESPERA
01237,01237.mp4,RUD E ROBSON,TOMAR UM GOLE
01238,01238.mp4,WALDICK SORIANO,TORTURAS DE AMOR
01239,01239.mp4,ZÉLIA DUNCAN,TUDO SOBRE VOCÊ
01240,01240.mp4,HUGO E TIAGO,VIROU ROTINA
01241,01241.mp4,CAPITAL INICIAL,A VIDA É MINHA (EU FAÇO O QUE EU QUISER)
01242,01242.mp4,JOÃO BOSCO E VINÍCIUS,"AH, É"
